bowler_name,bowler_id,dot_sequences,avg_dot_seq_length,max_dot_seq,total_dots_in_sequences
Akash Madhwal,4bd09374,5,3.6,5,18
VG Arora,7c3b3b78,6,3.5,6,21
RD Chahar,2ed569a0,4,3.0,5,12
JR Hazlewood,03806cf8,13,3.0,5,39
M Siddharth,cf0ccafa,3,3.0,4,9
Mustafizur Rahman,0a8fce53,7,2.9,5,20
TA Boult,a818c1be,17,2.9,6,49
Mohammed Shami,8cf9814c,17,2.8,5,47
Naveen-ul-Haq,c0c411cb,8,2.8,4,22
KK Ahmed,a2f46292,13,2.8,6,37
I Sharma,5bb1a1c4,9,2.8,4,25
LH Ferguson,2f9d0389,6,2.8,4,17
Akash Singh,b483905d,10,2.8,5,28
E Malinga,5750bcb4,4,2.8,4,11
T Natarajan,ce794613,8,2.8,4,22
C Green,eaa76d3c,4,2.8,3,11
W O'Rourke,cb9b8664,3,2.7,4,8
Sandeep Sharma,ce820073,10,2.7,4,27
K Kartikeya,f6d8a7ab,3,2.7,4,8
M Prasidh Krishna,85e0cf10,9,2.7,4,24
DJ Willey,7f048519,3,2.7,3,8
HV Patel,f986ca1a,7,2.7,4,19
J Little,9061a703,3,2.7,4,8
MP Yadav,b1ad996b,7,2.7,5,19
Shahbaz Ahmed,f9e6e7ef,7,2.7,5,19
Vijaykumar Vyshak,54e52590,5,2.6,4,13
R Ashwin,495d42a5,13,2.6,5,34
A Nortje,acdc62f5,5,2.6,4,13
C Bosch,172dff15,5,2.6,4,13
TU Deshpande,46a9bea1,14,2.6,4,36
RA Jadeja,fe93fd9d,12,2.6,4,31
M Theekshana,f24c6701,5,2.6,4,13
Arshdeep Singh,244048f6,25,2.6,4,64
Yash Thakur,4b31f3a3,8,2.6,5,21
JJ Bumrah,462411b3,20,2.6,5,51
HH Pandya,dbe50b21,14,2.5,4,35
DL Chahar,23eeb873,19,2.5,4,48
WD Parnell,3a60e0b5,6,2.5,4,15
B Kumar,2e81a32d,20,2.5,5,50
Mohsin Khan,c33d8116,4,2.5,3,10
Akash Deep,0a67aec0,4,2.5,3,10
Noor Ahmad,efc04be7,12,2.5,5,30
KV Sharma,119678fd,10,2.5,3,25
Mohammed Siraj,2f49c897,25,2.5,5,62
MA Wood,8d92a2c3,5,2.4,3,12
Rashid Khan,5f547c8b,12,2.4,4,29
KH Pandya,5b8c830e,14,2.4,3,34
CV Varun,5b7ab5a9,26,2.4,5,63
DS Rathi,13fc5c6d,7,2.4,3,17
M Pathirana,64839cb3,16,2.4,4,39
PWH de Silva,a97c8ec2,7,2.4,5,17
Mukesh Kumar,2cffab74,8,2.4,4,19
Suyash Sharma,9440ef41,8,2.4,4,19
PJ Cummins,ded9240e,12,2.4,4,29
SP Narine,9d430b40,27,2.4,4,64
PP Chawla,98ae73b1,3,2.3,3,7
Harshit Rana,77b1aa15,10,2.3,4,23
MM Ali,bb351c23,7,2.3,3,16
SN Thakur,1abb78f8,7,2.3,3,16
JD Unadkat,1e66c162,7,2.3,4,16
Nithish Kumar Reddy,aad0c365,3,2.3,3,7
G Coetzee,3204c99f,6,2.3,3,14
RJW Topley,8db7f47f,3,2.3,3,7
JC Archer,5574750c,3,2.3,3,7
Azmatullah Omarzai,8f6dd463,7,2.3,3,16
JO Holder,0f721006,4,2.3,3,9
AS Joseph,b0946605,3,2.3,3,7
S Sandeep Warrier,cdc6bdba,3,2.3,3,7
AD Russell,bbd41817,9,2.3,4,21
KM Asif,798cc28e,3,2.3,3,7
Kuldeep Yadav,8d2c70ad,11,2.2,3,24
GJ Maxwell,b681e71e,5,2.2,3,11
Yash Dayal,7210d461,13,2.2,4,29
M Jansen,81c36ee9,13,2.2,3,29
MA Starc,3fb19989,12,2.2,3,26
Ravi Bishnoi,df064e1a,13,2.2,3,29
MM Sharma,759ac88f,15,2.2,4,33
NT Ellis,9eb1455b,11,2.2,3,24
MJ Santner,e4a0deae,10,2.2,3,22
YS Chahal,57ee1fde,15,2.2,3,33
AR Patel,2e171977,7,2.1,3,15
Avesh Khan,eef2536f,9,2.1,3,19
M Markande,a9fd84fb,5,2.0,2,10
SM Curran,e94915e6,4,2.0,2,8
Abhishek Sharma,f29185a1,5,2.0,2,10
AS Roy,e4cdf230,3,2.0,2,6
UT Yadav,cc1e8c68,4,2.0,2,8
KR Sen,2e78f685,3,2.0,2,6
Ashwani Kumar,d45c29b1,4,2.0,2,8
Harpreet Brar,c05edf8e,4,2.0,2,8
